B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
136.1,167.4,5.13,480,347.3,49.4,2510
120.4,190.9,4.83,570,347.3,49.4,2510
306,306,3,300,300,38,2519
142.3,142.3,5.09,420,347.3,58.6,2520
99.56,99.56,4.91,360,762,100,2520
200,200,5,600,227,28.8,2530
121.5,179.7,4.18,540,550,56.6,2530
103,121,7.69,363,423.2,43.2,2545
200,200,3,604,303.5,46.8,2550
200,200,3,600,303.5,46.8,2550
200.1,200.1,4.35,601,323,57.9,2563
144,144,6.36,432,618,25.4,2572
144,144,6.36,432,618,25.4,2572
125,160,4,480,495,77.6,2580
200,200,3,605,303.5,46.8,2587
200,200,3,600,303.5,46.8,2587
200,200,7.8,796,238.3,35.7,2590
121.3,179.2,4.18,540,550,65.7,2590
200,200,3,601,303.5,46.8,2594
200,200,3,600,303.5,46.8,2594
137.1,167.9,5.1,480,347.3,58.6,2600
142.4,142.4,5.1,420,347.3,58.6,2610
99.2,99.2,4.93,360,762,100,2632
124.6,199.3,2.92,921,319.3,68.5,2636
125,160,4,480,495,77.6,2674
251.1,251.1,3.73,750,324.3,40.4,2677
120,120,8,500,379,103,2680
121.7,189.6,4.81,570,347.3,49.4,2680
120,120,8,500,379,103,2680
199,199,7.83,797,238.3,35.7,2700
133.2,172.7,5.08,480,347.3,58.6,2700
121,194.8,4.72,570,347.3,49.4,2700
122,181,5.7,540,514.53,55.3,2710
210,210,4.5,630,277,39.1,2713
210,210,4.5,630,277,39.1,2714
101,120,7.69,358,423.2,55.3,2730
197,197,6.4,600,437.88,21.26,2730
140,140,4,420,495,77.6,2752
144,144,6.36,432,618,40.5,2765
144,144,6.36,432,618,40.5,2765
300.5,300.5,6.1,902,395,26.5,2766
198,198,5.96,797,234.7,36,2800
99.6,199.8,4.18,600,550,65.7,2800
144,144,6.36,432,618,40.5,2808
144,144,6.36,432,618,40.5,2808
120,120,6.36,360,618,25.4,2819
120,120,6.47,360,835,25.4,2819
200.2,200.2,4.35,601,323,63.7,2825
140,140,4,420,495,77.6,2828
150,150,5,450,701,21,2828
200.5,200.5,6.3,600,437.88,19.58,2830
170,170,5,580,761,20.34,2831
251,251,3.75,750,324.3,40.4,2832
140,140,5,420,701,54.5,2840
200,200,1.87,600,282,64.8,2890
102.1,199.2,4.18,600,550,65.7,2900
200,200,1.87,600,282,64.8,2920
140,140,5,420,701,54.5,2942
120,120,6.47,360,835,40.5,2957
120,120,6.47,360,835,40.5,2957
